1,25
2,25
3,25
4,25
5,25
6,24
7,24
8,24
9,24
10,24
11,23
12,23
13,23
14,23
15,23
16,22
17,22
18,22
19,22
20,22
21,21
22,21
23,21
24,21
25,21
26,20
27,20
28,20
29,20
30,20
31,19
32,19
33,19
34,19
35,19
36,18
37,18
38,18
39,18
40,18
41,17
42,17
43,17
44,17
45,17
46,16
47,16
48,16
49,16
50,16
51,15
52,15
53,15
54,15
55,15
56,14
57,14
58,14
59,14
60,14
61,13
62,13
63,13
64,13
65,13
66,12
67,12
68,12
69,12
70,12
71,11
72,11
73,11
74,11
75,11
76,10
77,10
78,10
79,10
80,10
81,9
82,9
83,9
84,9
85,9
86,8
87,8
88,8
89,8
90,8
91,7
92,7
93,7
94,7
95,7
96,6
97,6
98,6
99,6
100,6
101,5
102,5
103,5
104,5
105,5
106,4
107,4
108,4
109,4
110,4
111,3
112,3
113,3
114,3
115,3
116,2
117,2
118,2
119,2
120,2
121,1
122,1
123,1
124,1
125,1
